country_code,country_name,is_aggregate,region,sub_region
IDA,IDA total,False,IDA total (World Bank),World Bank
EUU,European Union,False,European Union,European Union
EMU,Euro area,False,Euro Area,European Union
AFE,Sub-Saharan Africa (Eastern Africa),False,Sub-Saharan Africa,Eastern Africa
AFW,Sub-Saharan Africa (Western & Central Africa),False,Sub-Saharan Africa,Western & Central Africa
AFE,Sub-Saharan Africa (Eastern Africa),False,Sub-Saharan Africa,Eastern Africa
AFW,Sub-Saharan Africa (Western & Central Africa),False,Sub-Saharan Africa,Western & Central Africa
ARB,Arab World,False,Arab World,World
CEB,Central Europe and the Baltics,False,Central Europe and the Baltics,Central Europe
CHI,Channel Islands,False,Channel Islands,Western Europe
CSS,Caribbean Small States,False,Caribbean Small States,Caribbean
EAP,East Asia & Pacific,False,East Asia & Pacific,World
EAR,Early-demographic dividend,False,Demographic dividend,World Bank
EAS,East Asia & Pacific,False,East Asia & Pacific,World
ECA,Europe & Central Asia,False,Europe & Central Asia,World
ECS,Europe & Central Asia (other),False,Europe & Central Asia,Europe & Central Asia
EMU,Euro area,False,Euro Area,European Union
EUU,European Union,False,European Union,European Union
FCS,Fragile and Conflict-Affected Situations,False,Fragile and Conflict-Affected Situations,World Bank
HIC,High income,False,High income countries (aggregate),World
HPC,Heavily indebted poor countries (HIPC),False,Heavily indebted poor countries (HIPC),World Bank
IBD,IBRD only,False,IBRD only (World Bank),World Bank
IBT,IBRD & IDA,False,IBRD and IDA (World Bank),World Bank
IDA,IDA total,False,IDA total (World Bank),World Bank
IDB,IDA blend,False,IDA blend (World Bank),World Bank
IDX,IDA only,False,IDA only (World Bank),World Bank
INX,Not classified,False,Not classified,Not classified
LAC,Latin America & Caribbean (excluding high income),False,Latin America & Caribbean (excluding high income),World
LCN,Latin America & Caribbean,False,Latin America & Caribbean,World
LDC,Least developed countries (UN),False,Least developed countries (UN classification),World Bank
LIC,Low income,False,Low income countries (aggregate),World
LMC,Lower middle income,False,Lower middle income countries (aggregate),World
LMY,Low & middle income,False,Low & middle income countries (aggregate),World Bank
LTE,Late-demographic dividend,False,Demographic dividend,World Bank
MEA,Middle East & North Africa,False,Middle East & North Africa,Africa
MIC,Middle income,False,Middle income countries (aggregate),World Bank
MNA,Middle East & North Africa,False,Middle East & North Africa,World
NAC,North America,False,North America,World
OED,OECD members,False,OECD members,OECD members
OSS,Other small states,False,Other Small States,World
PRE,Pre-demographic dividend,False,Demographic dividend,World Bank
PSS,Pacific Island Small States,False,Pacific Island Small States,World
PST,Post-demographic dividend,False,Demographic dividend,World Bank
SAS,South Asia,False,South Asia,World
SSA,Sub-Saharan Africa,False,Sub-Saharan Africa,World
SSF,Sub-Saharan Africa,False,Sub-Saharan Africa,World
SST,Small states,False,Small States,World
TEA,East Asia & Pacific (IBRD & IDA),False,East Asia & Pacific (IBRD & IDA),World
TEC,Europe & Central Asia (IBRD & IDA),False,Europe & Central Asia (IBRD & IDA),Europe & Central Asia
TLA,Latin America & Caribbean (IBRD & IDA),False,Latin America & Caribbean (IBRD & IDA),World
TMN,Middle East & North Africa (IBRD & IDA),False,Middle East & North Africa (IBRD & IDA),Africa
TSA,South Asia (IBRD & IDA),False,South Asia (IBRD & IDA),World
TSS,Sub-Saharan Africa (IBRD & IDA),False,Sub-Saharan Africa (IBRD & IDA),World
UMC,Upper middle income,False,Upper middle income countries (aggregate),World
WLD,World,False,World,World
XKX,Kosovo,False,Europe & Central Asia,Southern Europe
